Year,Institute,Opening Rank,Closing Rank
2016,Assam University Silchar,35575,39443
2017,Assam University Silchar,27728,33759
2018,Assam University Silchar,20120,34617
2020,Assam University Silchar,42014,42014
2021,Assam University Silchar,47599,47599
2022,Assam University Silchar,39620,43313
2023,Assam University Silchar,47665,47665
2017,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,6908,10651
2018,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5808,10213
2020,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,6237,8722
2021,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5576,8292
2022,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5198,6763
2023,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5382,7757
2023,Birla Institute of Technology Mesra  Ranchi,10061,16401
2020,Birla Institute of Technology Mesra Ranchi,3050,10779
2021,Birla Institute of Technology Mesra Ranchi,409,11521
2022,Birla Institute of Technology Mesra Ranchi,6907,15991
2020,Central institute of Technology Kokrajar Assam,41371,47303
2021,Central institute of Technology Kokrajar Assam,47084,56486
2022,Central institute of Technology Kokrajar Assam,40462,45348
2023,Central institute of Technology Kokrajar Assam,46126,53251
2022,Central University of Jammu,35599,62544
2023,Central University of Jammu,56968,69036
2020,Central University of Rajasthan Rajasthan,21758,38259
2021,Central University of Rajasthan Rajasthan,33413,40933
2022,Central University of Rajasthan Rajasthan,36061,41253
2023,Central University of Rajasthan Rajasthan,40034,44886
2016,Gurukula Kangri Vishwavidyalaya Haridwar,25084,42824
2017,Gurukula Kangri Vishwavidyalaya Haridwar,19867,37523
2018,Gurukula Kangri Vishwavidyalaya Haridwar,30600,42106
2020,Gurukula Kangri Vishwavidyalaya Haridwar,31191,51622
2021,Gurukula Kangri Vishwavidyalaya Haridwar,48306,59898
2022,Gurukula Kangri Vishwavidyalaya Haridwar,33136,64720
2023,Gurukula Kangri Vishwavidyalaya Haridwar,41208,66702
2017,HNB Garhwal University Srinagar (Garhwal),30040,41319
2018,HNB Garhwal University Srinagar (Garhwal),37798,39838
2020,HNB Garhwal University Srinagar (Garhwal),43669,46500
2021,HNB Garhwal University Srinagar (Garhwal),52966,60561
2016,Indian Institute of Information Technology (IIIT) Nagpur,9735,22699
2017,Indian Institute of Information Technology (IIIT) Nagpur,12112,22918
2018,Indian Institute of Information Technology (IIIT) Nagpur,20224,25612
2020,Indian Institute of Information Technology (IIIT) Nagpur,13640,29713
2021,Indian Institute of Information Technology (IIIT) Nagpur,17642,26772
2022,Indian Institute of Information Technology (IIIT) Nagpur,13738,24793
2023,Indian Institute of Information Technology (IIIT) Nagpur,20399,27288
2016,Indian Institute of Information Technology (IIIT) Pune,7982,23670
2017,Indian Institute of Information Technology (IIIT) Pune,5092,19381
2018,Indian Institute of Information Technology (IIIT) Pune,9639,17217
2020,Indian Institute of Information Technology (IIIT) Pune,9329,20999
2021,Indian Institute of Information Technology (IIIT) Pune,7279,17042
2022,Indian Institute of Information Technology (IIIT) Pune,5336,15894
2023,Indian Institute of Information Technology (IIIT) Pune,4202,16952
2016,Indian Institute of Information Technology (IIIT) Ranchi,22051,29117
2017,Indian Institute of Information Technology (IIIT) Ranchi,18478,26822
2018,Indian Institute of Information Technology (IIIT) Ranchi,19744,28864
2020,Indian Institute of Information Technology (IIIT) Ranchi,22796,32673
2021,Indian Institute of Information Technology (IIIT) Ranchi,27118,35619
2022,Indian Institute of Information Technology (IIIT) Ranchi,25152,31879
2023,Indian Institute of Information Technology (IIIT) Ranchi,25997,32560
2016,Indian Institute of Information Technology (IIIT)Kota Rajasthan,12329,20828
2017,Indian Institute of Information Technology (IIIT)Kota Rajasthan,7063,18686
2018,Indian Institute of Information Technology (IIIT)Kota Rajasthan,9332,22280
2020,Indian Institute of Information Technology (IIIT)Kota Rajasthan,11315,22320
2021,Indian Institute of Information Technology (IIIT)Kota Rajasthan,14106,22460
